,language,affix,meaning
237,est,na,POS:2inf|
238,est,ra,POS:2inf|
239,est,v,POS:part|TENSE:pres|
240,est,ev,POS:part|TENSE:pres|
241,est,nud,POS:part|TENSE:past|
242,est,n,POS:verb|PERS:1|NUMB:sg|
243,est,d,POS:verb|PERS:2|NUMB:sg|
244,est,b,POS:verb|PERS:3|NUMB:sg|
245,est,me,POS:verb|PERS:1|NUMB:pl|
246,est,te,POS:verb|PERS:2|NUMB:pl|
247,est,vad,POS:verb|PERS:3|NUMB:pl|
248,est,si,POS:verb|TENSE:past|
249,est,i,POS:verb|TENSE:past|
250,est,ksi,POS:verb|MOOD:cond|
251,est,ks,POS:verb|MOOD:cond|
252,est,gu,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
253,est,ku,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
254,est,gem,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
255,est,kem,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
256,est,ge,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
257,est,ke,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
258,est,gu,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
259,est,ku,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
260,est,vat,POS:verb|MOOD:oblic|
261,est,tama,POS:inf|VOICE:pass|
262,est,dama,POS:inf|VOICE:pass|
263,est,tav,POS:part|TENSE:pres|VOICE:pass|
264,est,dav,POS:part|TENSE:pres|VOICE:pass|
265,est,tud,POS:part|TENSE:past|VOICE:pass|
266,est,dud,POS:part|TENSE:past|VOICE:pass|
267,vep,d,POS:nomin|NUMB:pl|
268,vep,i,POS:nomin|NUMB:pl|
269,vep,n,POS:nomin|CASE:gen|
270,vep,n',POS:nomin|CASE:gen|
271,vep,d'en,POS:nomin|CASE:gen|NUMB:pl|
272,vep,d'e,POS:nomin|CASE:gen|NUMB:pl|
273,vep,d,POS:nomin|CASE:par|
274,vep,d',POS:nomin|CASE:par|
275,vep,t,POS:nomin|CASE:par|
276,vep,da,POS:nomin|CASE:par|
277,vep,ta,POS:nomin|CASE:par|
278,vep,de,POS:nomin|CASE:par|
279,vep,te,POS:nomin|CASE:par|
280,vep,ha,POS:nomin|CASE:ill|
281,vep,he,POS:nomin|CASE:ill|
282,vep,ho,POS:nomin|CASE:ill|
283,vep,hu,POS:nomin|CASE:ill|
284,vep,ze,POS:nomin|CASE:ill|
285,vep,hi,POS:nomin|CASE:ill|
286,vep,že,POS:nomin|CASE:ill|
287,vep,s,POS:nomin|CASE:ines|
288,vep,š,POS:nomin|CASE:ines|
289,vep,se,POS:nomin|CASE:ines|
290,vep,sa,POS:nomin|CASE:ines|
291,vep,ša,POS:nomin|CASE:ines|
292,vep,s,POS:nomin|CASE:elat|
293,vep,š,POS:nomin|CASE:elat|
294,vep,se,POS:nomin|CASE:elat|
295,vep,sa,POS:nomin|CASE:elat|
296,vep,ša,POS:nomin|CASE:elat|
297,vep,le,POS:nomin|CASE:alla|
298,vep,l'e,POS:nomin|CASE:alla|
299,vep,l'l'e,POS:nomin|CASE:alla|
300,vep,l'i,POS:nomin|CASE:alla|
301,vep,l,POS:nomin|CASE:ades|
302,vep,l',POS:nomin|CASE:ades|
303,vep,l,POS:nomin|CASE:abl|
304,vep,l',POS:nomin|CASE:abl|
305,vep,ks,POS:nomin|CASE:tran|
306,vep,kš,POS:nomin|CASE:tran|
307,vep,ta,POS:nomin|CASE:abes|
308,vep,tte,POS:nomin|CASE:abes|
309,vep,tta,POS:nomin|CASE:abes|
310,vep,m,POS:nomin|POSS|PERS:1|NUMB:sg|
311,vep,in',POS:nomin|POSS|PERS:1|NUMB:sg|
312,vep,iž,POS:nomin|POSS|PERS:2|NUMB:sg|
313,vep,ze,POS:nomin|POSS|PERS:3|NUMB:sg|
314,vep,n,POS:verb|TENSE:pres|PERS:1|NUMB:sg|
315,vep,n',POS:verb|TENSE:pres|PERS:1|NUMB:sg|
316,vep,d,POS:verb|TENSE:pres|PERS:2|NUMB:sg|
317,vep,d',POS:verb|TENSE:pres|PERS:2|NUMB:sg|
318,vep,b,POS:verb|TENSE:pres|PERS:3|NUMB:sg|
319,vep,mei,POS:verb|TENSE:pres|PERS:1|NUMB:pl|
320,vep,tei,POS:verb|TENSE:pres|PERS:2|NUMB:pl|
321,vep,tas,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
322,vep,das,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
323,vep,n',POS:verb|TENSE:past|PERS:1|NUMB:sg|
324,vep,d',POS:verb|TENSE:past|PERS:2|NUMB:sg|
325,vep,mei,POS:verb|TENSE:past|PERS:1|NUMB:pl|
326,vep,tei,POS:verb|TENSE:past|PERS:2|NUMB:pl|
327,vep,ba,POS:verb|TENSE:past|PERS:3|NUMB:pl|
328,vep,bad,POS:verb|TENSE:past|PERS:3|NUMB:pl|
329,vep,s,POS:verb|MOOD:pot|PERS:3|NUMB:pl|
330,vep,ha,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
331,vep,m,POS:verb|MOOD:imp|PERS:1|NUMB:pl|
332,vep,t,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
333,vep,ha,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
334,vep,i,POS:verb|TENSE:past|
335,vep,iž,POS:verb|MOOD:cond|TENSE:pres|
336,vep,iži,POS:verb|MOOD:cond|TENSE:pres|
337,vep,deiž,POS:verb|MOOD:cond|TENSE:pres|
338,vep,teiž,POS:verb|MOOD:cond|TENSE:pres|
339,vep,nuiži,POS:verb|MOOD:cond|TENSE:perf|
340,vep,nuiž,POS:verb|MOOD:cond|TENSE:perf|
341,vep,danui,POS:verb|MOOD:cond|TENSE:perf|
342,vep,danuiž,POS:verb|MOOD:cond|TENSE:perf|
343,vep,tanui,POS:verb|MOOD:cond|TENSE:perf|
344,vep,tanuiž,POS:verb|MOOD:cond|TENSE:perf|
345,vep,n'e,POS:verb|MOOD:pot|
346,vep,dan'e,POS:verb|MOOD:pot|
347,vep,tan'e,POS:verb|MOOD:pot|
348,vep,da,POS:1inf|
349,vep,ta,POS:1inf|
350,vep,de,POS:2inf|
351,vep,te,POS:2inf|
352,vep,ma,POS:3inf|
353,vep,mä,POS:3inf|
354,vep,ii,POS:part|TENSE:pres|VOICE:act|
355,vep,ei,POS:part|TENSE:pres|VOICE:act|
356,vep,nu,POS:part|TENSE:past|VOICE:act|
357,vep,nude,POS:part|TENSE:past|VOICE:act|
358,vep,dut,POS:part|VOICE:pass|
359,vep,dud,POS:part|VOICE:pass|
360,vep,tud,POS:part|VOICE:pass|
361,vep,tut,POS:part|VOICE:pass|
362,vep,tet,POS:part|VOICE:pass|
363,vep,det,POS:part|VOICE:pass|
364,vep,moi,POS:verb|REFLEX|PERS:1|NUMB:sg|
365,vep,toi,POS:verb|REFLEX|PERS:2|NUMB:sg|
366,vep,se,POS:verb|REFLEX|PERS:3|NUMB:sg|
367,vep,moiš,POS:3inf|
368,vep,toiš,POS:verb|REFLEX|PERS:2|NUMB:pl|
369,vep,soi,POS:verb|REFLEX|PERS:3|NUMB:pl|
370,vep,hez,POS:verb|REFLEX|PERS:3|NUMB:sg|
371,vep,hezoi,POS:verb|REFLEX|PERS:3|NUMB:pl|
372,vep,te,POS:verb|REFLEX|MOOD:imp|PERS:2|NUMB:sg|
373,vep,de,POS:verb|REFLEX|MOOD:imp|PERS:2|NUMB:sg|
374,vep,haz,POS:verb|REFLEX|MOOD:imp|PERS:3|NUMB:sg|
375,vep,moiš,POS:verb|REFLEX|MOOD:imp|PERS:1|NUMB:pl|
376,vep,toiš,POS:verb|REFLEX|MOOD:imp|PERS:2|NUMB:pl|
377,vep,haz,POS:verb|REFLEX|MOOD:imp|PERS:3|NUMB:pl|
378,vep,hazoi,POS:verb|REFLEX|MOOD:imp|PERS:3|NUMB:pl|
379,ing,t,POS:nomin|NUMB:pl|
380,ing,i,POS:nomin|NUMB:pl|
381,ing,j,POS:nomin|NUMB:pl|
382,ing,loi,POS:nomin|NUMB:pl|
383,ing,löi,POS:nomin|NUMB:pl|
384,ing,loj,POS:nomin|NUMB:pl|
